theme,url,img,lines,author
,https://www.passiton.com/inspirational-quotes/8457-never-bend-your-head-always-hold-it-high-look,https://assets.passiton.com/quotes/images/8457/large_20250926_friday_quote.jpg,Never bend your head. Always hold it high. Look the world straight in the eye. #<Author:0x00007f02e7041050>,
,https://www.passiton.com/inspirational-quotes/6234-it-takes-courage-for-people-to-listen-to-their,https://assets.passiton.com/quotes/images/6234/large_20250925_thursday_quote.jpg,It takes courage for people to listen to their own goodness and act on it.  #<Author:0x00007f02e705e600>,
,https://www.passiton.com/inspirational-quotes/8414-you-ll-never-do-a-whole-lot-unless-you-re-brave,https://assets.passiton.com/quotes/images/8414/large_20250924_wednesday_quote.jpg,You’ll never do a whole lot unless you’re brave enough to try. #<Author:0x00007f02e705e100>,
,https://www.passiton.com/inspirational-quotes/7862-you-can-choose-courage-or-you-can-choose,https://assets.passiton.com/quotes/images/7862/large_20250923_tuesday_quote.jpg,"You can choose courage, or you can choose comfort, but you cannot choose both. #<Author:0x00007f02e705d980>",
,https://www.passiton.com/inspirational-quotes/3725-courage-is-not-simply-one-of-the-virtues-but,https://assets.passiton.com/quotes/images/3725/large_20250922_monday_quote.jpg,"Courage is not simply one of the virtues, but the form of every virtue at its testing point. #<Author:0x00007f02e705d340>",
,https://www.passiton.com/inspirational-quotes/6666-no-act-of-kindness-no-matter-how-small-is,https://assets.passiton.com/quotes/images/6666/large_20290919_friday_quote.jpg,"No act of kindness, no matter how small, is ever wasted. #<Author:0x00007f02e705ce40>",
,https://www.passiton.com/inspirational-quotes/8067-you-can-always-always-give-something-even-if,https://assets.passiton.com/quotes/images/8067/large_20290918_thursday_quote.jpg,"You can always, always give something, even if it is only kindness! #<Author:0x00007f02e705c6c0>",
,https://www.passiton.com/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/images/4228/large_20290917_wednesday_quote.jpg,"Good words bring good feelings to the heart. Speak with kindness, always.  #<Author:0x00007f02e705c1c0>",
,https://www.passiton.com/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/images/8368/large_20290916_tuesday_quote.jpg,"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on. #<Author:0x00007f02e705bb80>",
,https://www.passiton.com/inspirational-quotes/7667-kindness-can-become-its-own-motive-we-are-made,https://assets.passiton.com/quotes/images/7667/large_20290915_monday_quote.jpg,Kindness can become its own motive. We are made kind by being kind. #<Author:0x00007f02e705b400>,
,https://www.passiton.com/inspirational-quotes/8455-don-t-let-anyone-rob-you-of-your-imagination,https://assets.passiton.com/quotes/images/8455/large_20250912_friday_quote.jpg,"Don’t let anyone rob you of your imagination, creativity, or curiosity. It’s your place in the world; it’s your life. Go on and do all you can with it, and make it the life you want to live. #<Author:0x00007f02e705aa00>",
,https://www.passiton.com/inspirational-quotes/7382-you-cannot-discover-new-oceans-unless-you-have,https://assets.passiton.com/quotes/images/7382/large_20250911_thursday_quote.jpg,You cannot discover new oceans unless you have the courage to lose sight of the shore. #<Author:0x00007f02e7059600>,
,https://www.passiton.com/inspirational-quotes/8344-innovation-is-to-imagine-the-future-and-fill-in,https://assets.passiton.com/quotes/images/8344/large_20250910_wednesday_quote.jpg,Innovation is to imagine the future and fill in the gaps. #<Author:0x00007f02e7057d00>,
,https://www.passiton.com/inspirational-quotes/8454-all-sorts-of-things-can-happen-when-you-re-open,https://assets.passiton.com/quotes/images/8454/large_20250909_tuesday_quote.jpg,All sorts of things can happen when you’re open to new ideas and playing around with things. #<Author:0x00007f02e7057580>,
,https://www.passiton.com/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/images/8196/large_20250908_monday_quote.jpg,Innovation is the ability to see change as an opportunity – not a threat. #<Author:0x00007f02e7054c40>,
,https://www.passiton.com/inspirational-quotes/3353-there-is-no-substitute-for-hard-work,https://assets.passiton.com/quotes/images/3353/large_20250905_friday_quote.jpg,There is no substitute for hard work. #<Author:0x00007f02e7053840>,
,https://www.passiton.com/inspirational-quotes/7468-the-price-of-success-is-hard-work-dedication,https://assets.passiton.com/quotes/images/7468/large_20250904_thursday_quote.jpg,"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand. #<Author:0x00007f02e7052080>",
,https://www.passiton.com/inspirational-quotes/7893-success-isnt-always-about-greatness-its-about,https://assets.passiton.com/quotes/images/7893/large_20250903_wednesday_quote.jpg,Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come. #<Author:0x00007f02e706f518>,
,https://www.passiton.com/inspirational-quotes/8453-all-labor-that-uplifts-humanity-has-dignity-and,https://assets.passiton.com/quotes/images/8453/large_20250902_tuesday_quote.jpg,All labor that uplifts humanity has dignity and importance. #<Author:0x00007f02e706e398>,
,https://www.passiton.com/inspirational-quotes/8452-without-labor-nothing-prospers,https://assets.passiton.com/quotes/images/8452/large_20250901_monday_quote.jpg,"Without labor, nothing prospers. #<Author:0x00007f02e706cf98>",
,https://www.passiton.com/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/images/8083/large_20250829_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity. #<Author:0x00007f02e706c1d8>,
,https://www.passiton.com/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/images/7139/large_20250828_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen. #<Author:0x00007f02e706b7d8>,
,https://www.passiton.com/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/images/8426/large_20250827_wednesday_quote.jpg,I’m a very strong believer in listening and learning from others. #<Author:0x00007f02e706b198>,
,https://www.passiton.com/inspirational-quotes/7609-there-is-a-voice-that-doesn-t-use-words-listen,https://assets.passiton.com/quotes/images/7609/large_20250826_tuesday_quote.jpg,There is a voice that doesn’t use words. Listen. #<Author:0x00007f02e706ab58>,
,https://www.passiton.com/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/images/7608/large_20250825_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors. #<Author:0x00007f02e7069b18>,
,https://www.passiton.com/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/images/7664/large_20250822_friday_quote.jpg,"One child, one teacher, one book, one pen can change the world. #<Author:0x00007f02e7068ad8>",
,https://www.passiton.com/inspirational-quotes/8451-i-found-that-almost-everyone-had-something,https://assets.passiton.com/quotes/images/8451/large_20250821_thursday_quote.jpg,I found that almost everyone had something interesting to contribute to my education. #<Author:0x00007f02e7068498>,
,https://www.passiton.com/inspirational-quotes/8267-the-best-teachers-are-those-who-show-you-where,https://assets.passiton.com/quotes/images/8267/large_20250820_wednesday_quote.jpg,The best teachers are those who show you where to look but don’t tell you what to see. #<Author:0x00007f02e7067e58>,
,https://www.passiton.com/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/images/7932/large_20250819_tuesday_quote.jpg,"Children must be taught how to think, not what to think. #<Author:0x00007f02e70676d8>",
,https://www.passiton.com/inspirational-quotes/6517-the-purpose-of-education-is-to-replace-an-empty,https://assets.passiton.com/quotes/images/6517/large_20250818_monday_quote.jpg,"The purpose of education is to replace an empty mind with an open one.
 #<Author:0x00007f02e7066f58>",
,https://www.passiton.com/inspirational-quotes/3239-we-dont-need-to-share-the-same-opinions-as,https://assets.passiton.com/quotes/images/3239/large_20250815_friday_quote.jpg,"We don't need to share the same opinions as others, but we need to be respectful. #<Author:0x00007f02e7065dd8>",
,https://www.passiton.com/inspirational-quotes/8081-one-of-the-most-sincere-forms-of-respect-is,https://assets.passiton.com/quotes/images/8081/large_20250814_thursday_quote.jpg,One of the most sincere forms of respect is actually listening to what another has to say. #<Author:0x00007f02e7064898>,
,https://www.passiton.com/inspirational-quotes/8086-respect-is-one-of-the-greatest-expressions-of,https://assets.passiton.com/quotes/images/8086/large_20250813_wednesday_quote.jpg,Respect is one of the greatest expressions of love. #<Author:0x00007f02e7063ad8>,
